,Date,Account,Debit,Credit,Amount
,22/02/2011,1205 · Accounts Receivable (USD),,10901.25,-10901.25
,15/03/2011,1205 · Accounts Receivable (USD),12792.35,,12792.35
,29/03/2011,1205 · Accounts Receivable (USD),,12792.35,-12792.35
,6/04/2011,1205 · Accounts Receivable (USD),32714.33,,32714.33
,16/05/2011,1205 · Accounts Receivable (USD),9653.58,,9653.58
Total 1205 · Accounts Receivable (USD),,,92079.86,29711.95,62367.91
1300 · Prepayments,,,,,
Total 1300 · Prepayments,,,,,
1320 · Accrued Revenue,,,,,
,18/01/2011,1320 · Accrued Revenue,,6018.35,-6018.35
,14/02/2011,1320 · Accrued Revenue,,10901.25,-10901.25
Total 1320 · Accrued Revenue,,,0,16919.6,-16919.6
1420 · Advance Legal Fees,,,,,
Total 1420 · Advance Legal Fees,,,,,
1450 · Deposits & Advances,,,,,
1451 · Lease Deposit,,,,,
,3/04/2011,1451 · Lease Deposit,400,,400
Total 1451 · Lease Deposit,,,400,0,400
1452 · Other Deposits,,,,,
,2/02/2011,1452 · Other Deposits,53.5,,53.5
Total 1452 · Other Deposits,,,53.5,0,53.5
1453 · Utilities Deposits,,,,,
Total 1453 · Utilities Deposits,,,,,
1450 · Deposits & Advances - Other,,,,,
Total 1450 · Deposits & Advances - Other,,,,,
Total 1450 · Deposits & Advances,,,453.5,0,453.5
1470 · Directors Loans,,,,,
1471 · Director 1,,,,,
Total 1471 · Director 1,,,,,
1470 · Directors Loans - Other,,,,,
Total 1470 · Directors Loans - Other,,,,,
Total 1470 · Directors Loans,,,,,
1485 · Loans to DCF,,,,,
Total 1485 · Loans to DCF,,,,,
1499 · Undeposited Funds,,,,,
Total 1499 · Undeposited Funds,,,,,
1510 · Employee Advances,,,,,
1513 · Christian Andrews Advance,,,,,
Total 1513 · Christian Andrews Advance,,,,,
1510 · Employee Advances - Other,,,,,
Total 1510 · Employee Advances - Other,,,,,
Total 1510 · Employee Advances,,,,,
1890 · Office Equipment,,,,,
1891 · Cost,,,,,
Total 1891 · Cost,,,,,
1892 · Accumulated Depreciation,,,,,
Total 1892 · Accumulated Depreciation,,,,,
1890 · Office Equipment - Other,,,,,
Total 1890 · Office Equipment - Other,,,,,
Total 1890 · Office Equipment,,,,,
1910 · Computer Equipment,,,,,
1911 · Cost,,,,,
Total 1911 · Cost,,,,,
1912 · Accumulated Depn,,,,,
Total 1912 · Accumulated Depn,,,,,
1910 · Computer Equipment - Other,,,,,
Total 1910 · Computer Equipment - Other,,,,,
Total 1910 · Computer Equipment,,,,,
1950 · Fixtures & Fittings,,,,,
1951 · Accumulated Depreciation,,,,,
Total 1951 · Accumulated Depreciation,,,,,
1952 · Cost,,,,,
Total 1952 · Cost,,,,,
1950 · Fixtures & Fittings - Other,,,,,
Total 1950 · Fixtures & Fittings - Other,,,,,
Total 1950 · Fixtures & Fittings,,,,,
1980 · Royalties on Software Payable,,,,,
Total 1980 · Royalties on Software Payable,,,,,
1990 · Withholding Tax Payable,,,,,
Total 1990 · Withholding Tax Payable,,,,,
2000 · Accounts Payable,,,,,
,3/01/2011,2000 · Accounts Payable,,3209.97,-3209.97
,5/01/2011,2000 · Accounts Payable,3209.97,,3209.97
,5/01/2011,2000 · Accounts Payable,216.63,,216.63
,12/01/2011,2000 · Accounts Payable,,216.88,-216.88
,20/01/2011,2000 · Accounts Payable,134.54,,134.54
,20/01/2011,2000 · Accounts Payable,2867.38,,2867.38
,20/01/2011,2000 · Accounts Payable,134.82,,134.82
,21/01/2011,2000 · Accounts Payable,,216.63,-216.63
,21/01/2011,2000 · Accounts Payable,,93.91,-93.91
,26/01/2011,2000 · Accounts Payable,216.88,,216.88
,1/02/2011,2000 · Accounts Payable,3838.3,,3838.3
,2/02/2011,2000 · Accounts Payable,,3838.3,-3838.3
,11/02/2011,2000 · Accounts Payable,,143.48,-143.48
,14/02/2011,2000 · Accounts Payable,114.09,,114.09
,22/02/2011,2000 · Accounts Payable,,468.16,-468.16
,25/02/2011,2000 · Accounts Payable,143.48,,143.48
,4/03/2011,2000 · Accounts Payable,,3211.5,-3211.5
,7/03/2011,2000 · Accounts Payable,3211.5,,3211.5
,7/03/2011,2000 · Accounts Payable,310.54,,310.54
,8/03/2011,2000 · Accounts Payable,468.16,,468.16
,13/03/2011,2000 · Accounts Payable,,170.74,-170.74
,28/03/2011,2000 · Accounts Payable,170.74,,170.74
,3/04/2011,2000 · Accounts Payable,,3717.36,-3717.36
,9/04/2011,2000 · Accounts Payable,3717.36,,3717.36
,5/05/2011,2000 · Accounts Payable,,3490.97,-3490.97
,15/05/2011,2000 · Accounts Payable,3490.97,,3490.97
Total 2000 · Accounts Payable,,,22245.36,18777.9,3467.46
2002 · USD Accounts Payable,,,,,
Total 2002 · USD Accounts Payable,,,,,
2005 · Loan - ITH,,,,,
Total 2005 · Loan - ITH,,,,,
2010 · Loans from Affiliate Companies,,,,,
2012 · Loan ABC HK,,,,,
,7/02/2011,2012 · Loan ABC HK,,35820.4,-35820.4
,25/02/2011,2012 · Loan ABC HK,,25362,-25362
Total 2012 · Loan ABC HK,,,0,61182.4,-61182.4
2013 · Loan ABC Australia,,,,,
,31/03/2011,2013 · Loan ABC Australia,,12495,-12495
Total 2013 · Loan ABC Australia,,,0,12495,-12495
2014 · Loan BPS Singapore,,,,,
Total 2014 · Loan BPS Singapore,,,,,
2010 · Loans from Affiliate Companies - Other,,,,,
Total 2010 · Loans from Affiliate Companies - Other,,,,,
Total 2010 · Loans from Affiliate Companies,,,0,73677.4,-73677.4
2020 · Shareholder Loans,,,,,
2021 · Shareholder 1,,,,,
,18/03/2011,2021 · Shareholder 1,,615.57,-615.57
,4/04/2011,2021 · Shareholder 1,,6538,-6538
,28/04/2011,2021 · Shareholder 1,2547.43,,2547.43
Total 2021 · Shareholder 1,,,2547.43,7153.57,-4606.14
2020 · Shareholder Loans - Other,,,,,
Total 2020 · Shareholder Loans - Other,,,,,
Total 2020 · Shareholder Loans,,,2547.43,7153.57,-4606.14
2030 · Loans Received - Shareholder 2,,,,,
Total 2030 · Loans Received - Shareholder 2,,,,,
2040 · Loans Received - XYZ Company,,,,,
Total 2040 · Loans Received - XYZ Company,,,,,
2060 · Other Payables,,,,,
2062 · ABC HK - Upgrade Accruals,,,,,
Total 2062 · ABC HK - Upgrade Accruals,,,,,
2060 · Other Payables - Other,,,,,
Total 2060 · Other Payables - Other,,,,,
Total 2060 · Other Payables,,,,,
2080 · Loans from ITH,,,,,
Total 2080 · Loans from ITH,,,,,
2100 · Payroll Liabilities,,,,,
,3/01/2011,2100 · Payroll Liabilities,1,,1
,3/01/2011,2100 · Payroll Liabilities,1901,,1901
,3/01/2011,2100 · Payroll Liabilities,1526,,1526
,3/01/2011,2100 · Payroll Liabilities,12.5,,12.5
,28/01/2011,2100 · Payroll Liabilities,,1710,-1710
,28/01/2011,2100 · Payroll Liabilities,,1283,-1283
,28/01/2011,2100 · Payroll Liabilities,,12.5,-12.5
,28/01/2011,2100 · Payroll Liabilities,0,,0
,28/01/2011,2100 · Payroll Liabilities,,1053,-1053
,28/01/2011,2100 · Payroll Liabilities,,790,-790
,28/01/2011,2100 · Payroll Liabilities,,1,-1
,28/01/2011,2100 · Payroll Liabilities,0,,0
,28/01/2011,2100 · Payroll Liabilities,,849,-849
,28/01/2011,2100 · Payroll Liabilities,,821,-821
,28/01/2011,2100 · Payroll Liabilities,0,,0
,28/01/2011,2100 · Payroll Liabilities,0,,0
,11/02/2011,2100 · Payroll Liabilities,1,,1
,11/02/2011,2100 · Payroll Liabilities,3612,,3612
,11/02/2011,2100 · Payroll Liabilities,2894,,2894
,11/02/2011,2100 · Payroll Liabilities,12.5,,12.5
,25/02/2011,2100 · Payroll Liabilities,,900,-900
,25/02/2011,2100 · Payroll Liabilities,,675,-675
,25/02/2011,2100 · Payroll Liabilities,,12.5,-12.5
,25/02/2011,2100 · Payroll Liabilities,0,,0
,25/02/2011,2100 · Payroll Liabilities,,474,-474
,25/02/2011,2100 · Payroll Liabilities,,459,-459
,25/02/2011,2100 · Payroll Liabilities,0,,0
,25/02/2011,2100 · Payroll Liabilities,,567,-567
,25/02/2011,2100 · Payroll Liabilities,,425,-425
,25/02/2011,2100 · Payroll Liabilities,,1,-1
,25/02/2011,2100 · Payroll Liabilities,0,,0
,7/03/2011,2100 · Payroll Liabilities,1,,1
,7/03/2011,2100 · Payroll Liabilities,1941,,1941
,7/03/2011,2100 · Payroll Liabilities,1559,,1559
,7/03/2011,2100 · Payroll Liabilities,12.5,,12.5
,7/03/2011,2100 · Payroll Liabilities,,,
,28/03/2011,2100 · Payroll Liabilities,,474,-474
,28/03/2011,2100 · Payroll Liabilities,,475,-475
,28/03/2011,2100 · Payroll Liabilities,,8,-8
,28/03/2011,2100 · Payroll Liabilities,0,,0
,28/03/2011,2100 · Payroll Liabilities,,567,-567
,28/03/2011,2100 · Payroll Liabilities,,439,-439
,28/03/2011,2100 · Payroll Liabilities,,1,-1
,28/03/2011,2100 · Payroll Liabilities,,7,-7
,28/03/2011,2100 · Payroll Liabilities,0,,0
,28/03/2011,2100 · Payroll Liabilities,,900,-900
,28/03/2011,2100 · Payroll Liabilities,,698,-698
,28/03/2011,2100 · Payroll Liabilities,,12.5,-12.5
,28/03/2011,2100 · Payroll Liabilities,,11,-11
,28/03/2011,2100 · Payroll Liabilities,0,,0
,1/04/2011,2100 · Payroll Liabilities,1,,1
,1/04/2011,2100 · Payroll Liabilities,1941,,1941
,1/04/2011,2100 · Payroll Liabilities,1612,,1612
,1/04/2011,2100 · Payroll Liabilities,12.5,,12.5
,1/04/2011,2100 · Payroll Liabilities,26,,26
,28/04/2011,2100 · Payroll Liabilities,,474,-474
,28/04/2011,2100 · Payroll Liabilities,,475,-475
,28/04/2011,2100 · Payroll Liabilities,,8,-8
,28/04/2011,2100 · Payroll Liabilities,0,,0
,28/04/2011,2100 · Payroll Liabilities,,567,-567
,28/04/2011,2100 · Payroll Liabilities,,439,-439
,28/04/2011,2100 · Payroll Liabilities,,1,-1
,28/04/2011,2100 · Payroll Liabilities,,7,-7
,28/04/2011,2100 · Payroll Liabilities,0,,0
,28/04/2011,2100 · Payroll Liabilities,,900,-900
,28/04/2011,2100 · Payroll Liabilities,,698,-698
,28/04/2011,2100 · Payroll Liabilities,,12.5,-12.5
,28/04/2011,2100 · Payroll Liabilities,,11,-11
,28/04/2011,2100 · Payroll Liabilities,0,,0
,1/05/2011,2100 · Payroll Liabilities,1,,1
,1/05/2011,2100 · Payroll Liabilities,1941,,1941
,1/05/2011,2100 · Payroll Liabilities,1612,,1612
,1/05/2011,2100 · Payroll Liabilities,12.5,,12.5
,1/05/2011,2100 · Payroll Liabilities,26,,26
Total 2100 · Payroll Liabilities,,,20658.5,17218,3440.5
2111 · Payroll Liability - Other,,,,,
Total 2111 · Payroll Liability - Other,,,,,
2200 · GST Control,,,,,
Total 2200 · GST Control,,,,,
2200 · GST Control Duplicate,,,,,
Total 2200 · GST Control Duplicate,,,,,
2710 · Prepaid Maintenance,,,,,
,18/01/2011,2710 · Prepaid Maintenance,6018.35,,6018.35
,28/01/2011,2710 · Prepaid Maintenance,,6018.35,-6018.35
,11/03/2011,2710 · Prepaid Maintenance,,4217,-4217
Total 2710 · Prepaid Maintenance,,,6018.35,10235.35,-4217
2850 · Withholding Tax,,,,,
Total 2850 · Withholding Tax,,,,,
2860 · Accrued Expense,,,,,
,10/01/2011,2860 · Accrued Expense,3874.5,,3874.5
,18/01/2011,2860 · Accrued Expense,8978,,8978
,18/01/2011,2860 · Accrued Expense,1327,,1327
,10/02/2011,2860 · Accrued Expense,2552.6,,2552.6
Total 2860 · Accrued Expense,,,16732.1,0,16732.1
2870 · Taxation Payable,,,,,
Total 2870 · Taxation Payable,,,,,
2880 · Deferred Taxation,,,,,
Total 2880 · Deferred Taxation,,,,,
3000 · Opening Bal Equity,,,,,
Total 3000 · Opening Bal Equity,,,,,
3100 · Share Capital,,,,,
Total 3100 · Share Capital,,,,,
3200 · Retained Earnings,,,,,
Total 3200 · Retained Earnings,,,,,
4005 · Automatos Service Fees,,,,,
Total 4005 · Automatos Service Fees,,,,,
4010 · SW Licenses,,,,,
,21/03/2011,4010 · SW Licenses,,29000,-29000
Total 4010 · SW Licenses,,,0,29000,-29000
4020 · Software M&S Income,,,,,
Total 4020 · Software M&S Income,,,,,
4030 · Consulting Income,,,,,
,14/02/2011,4030 · Consulting Income,,27864.48,-27864.48
,14/02/2011,4030 · Consulting Income,,3036.77,-3036.77
,14/02/2011,4030 · Consulting Income,10901.25,,10901.25
,15/03/2011,4030 · Consulting Income,,4680.12,-4680.12
,15/03/2011,4030 · Consulting Income,,5148.15,-5148.15
,15/03/2011,4030 · Consulting Income,,2964.09,-2964.09
,21/03/2011,4030 · Consulting Income,,8500,-8500
,28/03/2011,4030 · Consulting Income,,2500,-2500
,31/03/2011,4030 · Consulting Income,,3600,-3600
,6/04/2011,4030 · Consulting Income,,5772.14,-5772.14
,6/04/2011,4030 · Consulting Income,,25304.14,-25304.14
,6/04/2011,4030 · Consulting Income,,1638.04,-1638.04
,16/05/2011,4030 · Consulting Income,,2975,-2975
,16/05/2011,4030 · Consulting Income,,4371.43,-4371.43
,16/05/2011,4030 · Consulting Income,,607.15,-607.15
,16/05/2011,4030 · Consulting Income,,1700,-1700
Total 4030 · Consulting Income,,,10901.25,100661.51,-89760.26
4031 · Software Development,,,,,
Total 4031 · Software Development,,,,,
4040 · Reimbursed Expenses,,,,,
Total 4040 · Reimbursed Expenses,,,,,
4050 · Miscellaneous Income,,,,,
,20/01/2011,4050 · Miscellaneous Income,,500,-500
Total 4050 · Miscellaneous Income,,,0,500,-500
5010 · Software Licensing,,,,,
5011 · Software Licensing/Upgrade Fees,,,,,
Total 5011 · Software Licensing/Upgrade Fees,,,,,
5012 · Withholding Tax,,,,,
Total 5012 · Withholding Tax,,,,,
5010 · Software Licensing - Other,,,,,
Total 5010 · Software Licensing - Other,,,,,
Total 5010 · Software Licensing,,,,,
5020 · External Consulting,,,,,
5021 · External Consulting Net Fees,,,,,
Total 5021 · External Consulting Net Fees,,,,,
5022 · Withholding Tax,,,,,
Total 5022 · Withholding Tax,,,,,
5020 · External Consulting - Other,,,,,
Total 5020 · External Consulting - Other,,,,,
Total 5020 · External Consulting,,,,,
6002 · Exchange Gain/Loss,,,,,
,9/02/2011,6002 · Exchange Gain/Loss,,18.8,-18.8
,22/02/2011,6002 · Exchange Gain/Loss,,17,-17
,15/03/2011,6002 · Exchange Gain/Loss,0.01,,0.01
,29/03/2011,6002 · Exchange Gain/Loss,233.4,,233.4
,6/04/2011,6002 · Exchange Gain/Loss,,0.01,-0.01
Total 6002 · Exchange Gain/Loss,,,233.41,35.81,197.6
6010 · Salaries & Benefits,,,,,
6011 · Salary,,,,,
,28/01/2011,6011 · Salary,5000,,5000
,28/01/2011,6011 · Salary,2835,,2835
,28/01/2011,6011 · Salary,2756.5,,2756.5
,25/02/2011,6011 · Salary,5000,,5000
,25/02/2011,6011 · Salary,2756.5,,2756.5
,25/02/2011,6011 · Salary,2835,,2835
,3/03/2011,6011 · Salary,9459.75,,9459.75
,3/03/2011,6011 · Salary,6306.5,,6306.5
,28/03/2011,6011 · Salary,2756.5,,2756.5
,28/03/2011,6011 · Salary,2835,,2835
,28/03/2011,6011 · Salary,5000,,5000
,4/04/2011,6011 · Salary,3134.5,,3134.5
,28/04/2011,6011 · Salary,2756.5,,2756.5
,28/04/2011,6011 · Salary,2835,,2835
,28/04/2011,6011 · Salary,5200,,5200
,28/04/2011,6011 · Salary,9273.75,,9273.75
Total 6011 · Salary,,,70740.5,0,70740.5
6012 · Allowance,,,,,
Total 6012 · Allowance,,,,,
6013 · Bonus,,,,,
,18/01/2011,6013 · Bonus,,8978,-8978
,28/01/2011,6013 · Bonus,4050,,4050
,28/01/2011,6013 · Bonus,2430,,2430
,28/01/2011,6013 · Bonus,2498,,2498
Total 6013 · Bonus,,,8978,8978,0
6014 · Leave Pay Due on Termination,,,,,
Total 6014 · Leave Pay Due on Termination,,,,,
6015 · MPF Contributions,,,,,
,18/01/2011,6015 · MPF Contributions,,1327,-1327
,28/01/2011,6015 · MPF Contributions,1283,,1283
,28/01/2011,6015 · MPF Contributions,790,,790
,28/01/2011,6015 · MPF Contributions,821,,821
,25/02/2011,6015 · MPF Contributions,675,,675
,25/02/2011,6015 · MPF Contributions,459,,459
,25/02/2011,6015 · MPF Contributions,425,,425
,28/03/2011,6015 · MPF Contributions,475,,475
,28/03/2011,6015 · MPF Contributions,439,,439
,28/03/2011,6015 · MPF Contributions,698,,698
,28/04/2011,6015 · MPF Contributions,475,,475
,28/04/2011,6015 · MPF Contributions,439,,439
,28/04/2011,6015 · MPF Contributions,698,,698
Total 6015 · MPF Contributions,,,7677,1327,6350
6016 · Employment Pass Fees,,,,,
Total 6016 · Employment Pass Fees,,,,,
6017 · Health Cover,,,,,
Total 6017 · Health Cover,,,,,
6018 · Medical Benefits,,,,,
,28/03/2011,6018 · Medical Benefits,214.6,,214.6
Total 6018 · Medical Benefits,,,214.6,0,214.6
6019 · Training,,,,,
Total 6019 · Training,,,,,
6010 · Salaries & Benefits - Other,,,,,
,4/04/2011,6010 · Salaries & Benefits,9403.5,,9403.5
Total 6010 · Salaries & Benefits - Other,,,9403.5,0,9403.5
Total 6010 · Salaries & Benefits,,,97013.6,10305,86708.6
6020 · Occupancy Charges,,,,,
6021 · Rent,,,,,
,3/01/2011,6021 · Rent,3800,,3800
,3/01/2011,6021 · Rent,3209.97,,3209.97
,1/02/2011,6021 · Rent,3800,,3800
,2/02/2011,6021 · Rent,3208.93,,3208.93
,1/03/2011,6021 · Rent,3800,,3800
,4/03/2011,6021 · Rent,3208.93,,3208.93
,3/04/2011,6021 · Rent,3315.93,,3315.93
,9/04/2011,6021 · Rent,3800,,3800
,1/05/2011,6021 · Rent,3800,,3800
,5/05/2011,6021 · Rent,3422.93,,3422.93
Total 6021 · Rent,,,35366.69,0,35366.69
6022 · Amenities,,,,,
,13/04/2011,6022 · Amenities,32.1,,32.1
,1/05/2011,6022 · Amenities,,32.1,-32.1
,5/05/2011,6022 · Amenities,42.8,,42.8
Total 6022 · Amenities,,,74.9,32.1,42.8
6023 · Service Charge,,,,,
Total 6023 · Service Charge,,,,,
6024 · Signage,,,,,
,2/02/2011,6024 · Signage,561.75,,561.75
Total 6024 · Signage,,,561.75,0,561.75
6025 · Rates,,,,,
Total 6025 · Rates,,,,,
6027 · Repairs Reclaimed from Rent,,,,,
Total 6027 · Repairs Reclaimed from Rent,,,,,
6020 · Occupancy Charges - Other,,,,,
Total 6020 · Occupancy Charges - Other,,,,,
Total 6020 · Occupancy Charges,,,36003.34,32.1,35971.24
6030 · Office Admin Costs,,,,,
6031 · Office Cleaning/Amenities,,,,,
Total 6031 · Office Cleaning/Amenities,,,,,
6032 · Secretarial Services,,,,,
Total 6032 · Secretarial Services,,,,,
6030 · Office Admin Costs - Other,,,,,
Total 6030 · Office Admin Costs - Other,,,,,
Total 6030 · Office Admin Costs,,,,,
6038 · Contract Services,,,,,
Total 6038 · Contract Services,,,,,
6040 · Recruitment Advertising,,,,,
Total 6040 · Recruitment Advertising,,,,,
6100 · Marketing,,,,,
6101 · Seminars & Promotion,,,,,
Total 6101 · Seminars & Promotion,,,,,
6102 · Printed Marketing Material,,,,,
,19/01/2011,6102 · Printed Marketing Material,776,,776
Total 6102 · Printed Marketing Material,,,776,0,776
6103 · Outside Services,,,,,
,13/04/2011,6103 · Outside Services,32.54,,32.54
Total 6103 · Outside Services,,,32.54,0,32.54
6104 · Mail List and Sources,,,,,
,14/02/2011,6104 · Mail List and Sources,33.28,,33.28
,18/03/2011,6104 · Mail List and Sources,32.72,,32.72
Total 6104 · Mail List and Sources,,,66,0,66
6100 · Marketing - Other,,,,,
Total 6100 · Marketing - Other,,,,,
Total 6100 · Marketing,,,874.54,0,874.54
6110 · Motor Expense,,,,,
Total 6110 · Motor Expense,,,,,
6120 · Bank Service Charges,,,,,
,20/01/2011,6120 · Bank Service Charges,20,,20
,20/01/2011,6120 · Bank Service Charges,15,,15
,9/02/2011,6120 · Bank Service Charges,10.03,,10.03
,22/02/2011,6120 · Bank Service Charges,10.01,,10.01
,25/02/2011,6120 · Bank Service Charges,25.36,,25.36
,25/02/2011,6120 · Bank Service Charges,10,,10
,29/03/2011,6120 · Bank Service Charges,9.88,,9.88
,31/03/2011,6120 · Bank Service Charges,15,,15
Total 6120 · Bank Service Charges,,,115.28,0,115.28
6125 · Books and Publications,,,,,
Total 6125 · Books and Publications,,,,,
6130 · Cash Discounts,,,,,
Total 6130 · Cash Discounts,,,,,
6140 · Gifts and Donations,,,,,
Total 6140 · Gifts and Donations,,,,,
6150 · Depreciation Expense,,,,,
6153 · Office Equip Depn,,,,,
Total 6153 · Office Equip Depn,,,,,
6155 · Depn Comp Eqt,,,,,
Total 6155 · Depn Comp Eqt,,,,,
6157 · Depn Fixtures & Fittings,,,,,
Total 6157 · Depn Fixtures & Fittings,,,,,
6150 · Depreciation Expense - Other,,,,,
Total 6150 · Depreciation Expense - Other,,,,,
Total 6150 · Depreciation Expense,,,,,
6160 · Dues and Subscriptions,,,,,
Total 6160 · Dues and Subscriptions,,,,,
6165 · Entertainment,,,,,
,14/02/2011,6165 · Entertainment,218.8,,218.8
,3/03/2011,6165 · Entertainment,345.33,,345.33
