,"Account","Type","Balance Total","Description","Accnt. #","Tax Line"
,"1950 · Fixtures & Fittings:1951 · Accumulated Depreciation","Fixed Asset",-5370.52,,"1951","<Unassigned>"
,"1950 · Fixtures & Fittings:1952 · Cost","Fixed Asset",5370.52,"Cost","1952","<Unassigned>"
,"2000 · Accounts Payable","Accounts Payable",21580.70,,"2000","<Unassigned>"
,"2060 · Other Payables","Other Current Liability",0.00,"Other Payables","2060","<Unassigned>"
,"2070 · Loans from Affiliate Companies","Other Current Liability",268527.82,,"2070","<Unassigned>"
,"2070 · Loans from Affiliate Companies:2080 · Loans ITH","Other Current Liability",18233.75,"Loans from ITH","2080","<Unassigned>"
,"2070 · Loans from Affiliate Companies:2085 · Loan from G C Parsons","Other Current Liability",109316.80,,"2085","<Unassigned>"
,"2070 · Loans from Affiliate Companies:2090 · Loan Satoluja Holdings Pty Ltd","Other Current Liability",2943.84,,"2090","<Unassigned>"
,"2070 · Loans from Affiliate Companies:2095 · Loans from G Wilk","Other Current Liability",138033.43,,"2095","<Unassigned>"
,"2100 · Payroll Liabilities","Other Current Liability",0.00,,"2100","<Unassigned>"
,"2200 · GST Control","Other Current Liability",0.00,,"2200","<Unassigned>"
,"2710 · Prepaid Maintenance","Other Current Liability",67027.74,,"2710","<Unassigned>"
,"2850 · Withholding Tax","Other Current Liability",0.00,,"2850","<Unassigned>"
,"2860 · Accrued Expense","Other Current Liability",0.00,"Accrued Expenses","2860","<Unassigned>"
,"2870 · Taxation Payable","Other Current Liability",0.00,,"2870","<Unassigned>"
,"2880 · Deferred Taxation","Other Current Liability",0.00,,"2880","<Unassigned>"
,"3000 · Opening Bal Equity","Equity",-0.05,,"3000","<Unassigned>"
,"3100 · Share Capital","Equity",1153.84,,"3100","<Unassigned>"
,"3200 · Retained Earnings","Equity","","Retained Earnings","3200","<Unassigned>"
,"3300 · Share Premium","Equity",599861.54,,"3300","<Unassigned>"
,"4010 · SW Licenses","Income","",,"4010","<Unassigned>"
,"4020 · Software M&S Income","Income","","Other Income","4020","<Unassigned>"
,"4030 · Consulting Income","Income","","Consulting Income","4030","<Unassigned>"
,"4031 · Software Development","Income","",,"4031","<Unassigned>"
,"4040 · Reimbursed Expenses","Income","","Reimbursed Expenses","4040","<Unassigned>"
,"4050 · Miscellaneous Income","Income","","Other Income","4050","<Unassigned>"
,"4060 · Discount Allowance","Income","",,"4060","<Unassigned>"
,"4090 · Sundry Income","Income","",,"4090","<Unassigned>"
,"49900 · Uncategorised Income","Income","",,"49900","<Unassigned>"
,"5010 · Software Product Sales COGS","Cost of Goods Sold","",,"5010","<Unassigned>"
,"5010 · Software Product Sales COGS:5011 · Software Licences","Cost of Goods Sold","","Royalties Adaytum","5011","<Unassigned>"
,"5010 · Software Product Sales COGS:5013 · Software Product M&S","Cost of Goods Sold","",,"5013","<Unassigned>"
,"5020 · External Consulting","Cost of Goods Sold","",,"5020","<Unassigned>"
,"5020 · External Consulting:5021 · External Consulting Net Fees","Cost of Goods Sold","","External Consulting Fees","5021","<Unassigned>"
,"6005 · Directors Emoluments","Expense","",,"6005","<Unassigned>"
,"6010 · Salaries & Benefits","Expense","","Salaries & Benefits","6010","<Unassigned>"
,"6010 · Salaries & Benefits:6011 · Salary","Expense","","Salaries","6011","<Unassigned>"
,"6010 · Salaries & Benefits:6012 · Allowance","Expense","",,"6012","<Unassigned>"
,"6010 · Salaries & Benefits:6013 · Bonus","Expense","","Bonuses","6013","<Unassigned>"
,"6010 · Salaries & Benefits:6014 · Leave Pay Due on Termination","Expense","",,"6014","<Unassigned>"
,"6010 · Salaries & Benefits:6015 · MPF Contributions","Expense","",,"6015","<Unassigned>"
,"6010 · Salaries & Benefits:6017 · Health Cover","Expense","","Health & Disability Insurance","6017","<Unassigned>"
,"6010 · Salaries & Benefits:6018 · Medical Benefits","Expense","",,"6018","<Unassigned>"
,"6010 · Salaries & Benefits:6019 · Training","Expense","","Training","6019","<Unassigned>"
,"6020 · Occupancy Charges","Expense","",,"6020","<Unassigned>"
,"6020 · Occupancy Charges:6021 · Rent","Expense","","Rent","6021","<Unassigned>"
,"6020 · Occupancy Charges:6022 · Amenities","Expense","",,"6022","<Unassigned>"
,"6020 · Occupancy Charges:6023 · Service Charge","Expense","",,"6023","<Unassigned>"
,"6020 · Occupancy Charges:6024 · Signage","Expense","",,"6024","<Unassigned>"
,"6020 · Occupancy Charges:6025 · Rates","Expense","",,"6025","<Unassigned>"
,"6030 · Office Admin Costs","Expense","",,"6030","<Unassigned>"
,"6030 · Office Admin Costs:6031 · Office Cleaning/Amenities","Expense","",,"6031","<Unassigned>"
,"6030 · Office Admin Costs:6032 · Secretarial Services","Expense","","Secretarial Services","6032","<Unassigned>"
,"6040 · Recruitment Advertising","Expense","",,"6040","<Unassigned>"
,"6040 · Recruitment Advertising:6042 · Internet Recruitment","Expense","",,"6042","<Unassigned>"
,"6040 · Recruitment Advertising:6044 · Recruitment Agency Fee","Expense","",,"6044","<Unassigned>"
,"6050 · Employee Training","Expense","",,"6050","<Unassigned>"
,"6050 · Employee Training:6052 · Fees Paid for External Training","Expense","",,"6052","<Unassigned>"
,"6050 · Employee Training:6054 · Government Grants for Training","Expense","",,"6054","<Unassigned>"
,"6100 · Marketing","Expense","","Marketing Costs","6100","<Unassigned>"
,"6100 · Marketing:6101 · Seminars & Promotion","Expense","",,"6101","<Unassigned>"
,"6100 · Marketing:6102 · Printed Marketing Material","Expense","",,"6102","<Unassigned>"
,"6100 · Marketing:6103 · Outside Services","Expense","",,"6103","<Unassigned>"
,"6110 · Motor Expense","Expense","","Motor Expense","6110","<Unassigned>"
,"6120 · Bank Service Charges","Expense","","Bank Service Charges","6120","<Unassigned>"
,"6125 · Books and Publications","Expense","","Books and Publications","6125","<Unassigned>"
,"6130 · Cash Discounts","Expense","","Cash Discounts","6130","<Unassigned>"
,"6140 · Gifts and Donations","Expense","","Gifts and Donations","6140","<Unassigned>"
,"6150 · Depreciation Expense","Expense","","Depreciation Expense","6150","<Unassigned>"
,"6150 · Depreciation Expense:6153 · Office Equip Depn","Expense","",,"6153","<Unassigned>"
,"6150 · Depreciation Expense:6155 · Depn Comp Eqt","Expense","","Depn Comp Eqt","6155","<Unassigned>"
,"6150 · Depreciation Expense:6157 · Depn Fixtures & Fittings","Expense","",,"6157","<Unassigned>"
,"6160 · Dues and Subscriptions","Expense","","Dues and Subscriptions","6160","<Unassigned>"
,"6165 · Entertainment","Expense","","Entertainment","6165","<Unassigned>"
,"6170 · Equipment Rental","Expense","","Equipment Rental","6170","<Unassigned>"
,"6175 · Expensed Equipment","Expense","","Expensed Equipment","6175","<Unassigned>"
,"6180 · Insurance","Expense","","Insurance","6180","<Unassigned>"
,"6180 · Insurance:6181 · Fire & Risks","Expense","",,"6181","<Unassigned>"
,"6180 · Insurance:6185 · Professional Indemnity Insuranc","Expense","","Professional Indemnity Insura","6185","<Unassigned>"
,"6180 · Insurance:6186 · Sickness and accident Insurance","Expense","","Sickness and accident Insuran","6186","<Unassigned>"
,"6180 · Insurance:6187 · Employer's Liability","Expense","","Employer's Liability","6187","<Unassigned>"
,"6180 · Insurance:6188 · Employee Compensation","Expense","",,"6188","<Unassigned>"
,"6200 · Interest Expense","Expense","","Interest Expense","6200","<Unassigned>"
,"6200 · Interest Expense:6202 · Finance Charge","Expense","","Finance Charge","6202","<Unassigned>"
,"6200 · Interest Expense:6204 · Loan Interest","Expense","","Loan Interest Expense","6204","<Unassigned>"
,"6200 · Interest Expense:6208 · Mortgage","Expense","","Mortgage Interest","6208","<Unassigned>"
,"6230 · Licenses and Permits","Expense","","Licenses","6230","<Unassigned>"
,"6230 · Licenses and Permits:6231 · Business Registration","Expense","",,"6231","<Unassigned>"
,"6240 · Miscellaneous","Expense","","Miscellaneous","6240","<Unassigned>"
,"6250 · Postage and Delivery","Expense","","Postage and Delivery","6250","<Unassigned>"
,"6260 · Printing and Reproduction","Expense","","Printing and Reproduction","6260","<Unassigned>"
,"6270 · Professional Fees","Expense","","Professional Fees","6270","<Unassigned>"
,"6270 · Professional Fees:6271 · Accounting","Expense","","Accounting Fees","6271","<Unassigned>"
,"6270 · Professional Fees:6272 · Legal Fees","Expense","","Legal Fees","6272","<Unassigned>"
,"6270 · Professional Fees:6273 · Audit Fee","Expense","",,"6273","<Unassigned>"
,"6270 · Professional Fees:6275 · Other Professional Services","Expense","",,"6275","<Unassigned>"
,"6270 · Professional Fees:6276 · Disbursements","Expense","","Disbursements","6276","<Unassigned>"
,"6280 · Repairs","Expense","","Repairs and Maintenance","6280","<Unassigned>"
,"6280 · Repairs:6281 · Building Repairs","Expense","","Building Repairs","6281","<Unassigned>"
,"6280 · Repairs:6282 · Computer Repairs","Expense","","Computer Repairs","6282","<Unassigned>"
,"6280 · Repairs:6283 · Equipment Repairs","Expense","","Equipment Repairs","6283","<Unassigned>"
,"6280 · Repairs:6285 · Janitorial Exp","Expense","","Janitorial Expense","6285","<Unassigned>"
,"6290 · Subscriptions","Expense","","Professional Subscriptions","6290","<Unassigned>"
,"6300 · Software Expense","Expense","","Expensed Software","6300","<Unassigned>"
,"6310 · EDP Consumables","Expense","","EDP Consumables","6310","<Unassigned>"
,"6320 · Telephone","Expense","","Telephone","6320","<Unassigned>"
,"6320 · Telephone:6321 · Installation","Expense","","Installation Charges","6321","<Unassigned>"
,"6320 · Telephone:6322 · Internet Charges","Expense","","Internet Service Charges","6322","<Unassigned>"
,"6320 · Telephone:6323 · ISD Calls","Expense","","ISD Calls","6323","<Unassigned>"
,"6320 · Telephone:6325 · Local Calls","Expense","","Local Calls","6325","<Unassigned>"
,"6320 · Telephone:6326 · Service Fee","Expense","","Telephone Service Fees","6326","<Unassigned>"
,"6320 · Telephone:6327 · Fax","Expense","","Facsimile","6327","<Unassigned>"
,"6320 · Telephone:6330 · Mobile","Expense","","Mobile Telephone","6330","<Unassigned>"
,"6320 · Telephone:6330 · Mobile:6331 · ISD Calls","Expense","",,"6331","<Unassigned>"
,"6320 · Telephone:6330 · Mobile:6332 · Local Calls","Expense","",,"6332","<Unassigned>"
,"6320 · Telephone:6330 · Mobile:6335 · Service Charge","Expense","",,"6335","<Unassigned>"
,"6340 · Bad Debts","Expense","",,"6340","<Unassigned>"
,"6350 · Travel and Acc.","Expense","","Travel and Accommodation","6350","<Unassigned>"
,"6350 · Travel and Acc.:6351 · Accommodation","Expense","",,"6351","<Unassigned>"
,"6350 · Travel and Acc.:6352 · Meals","Expense","","Meals","6352","<Unassigned>"
,"6350 · Travel and Acc.:6353 · Travel","Expense","","Travel","6353","<Unassigned>"
,"6350 · Travel and Acc.:6354 · Travel Insurance","Expense","",,"6354","<Unassigned>"
,"6350 · Travel and Acc.:6355 · Local Transportation","Expense","","Local Taxi or Other Transport","6355","<Unassigned>"
,"6350 · Travel and Acc.:6356 · Per Diem Allowances","Expense","",,"6356","<Unassigned>"
,"6350 · Travel and Acc.:6357 · Airfares","Expense","","Airfares","6357","<Unassigned>"
,"6360 · Stamp Duties","Expense","","Stamp Duties","6360","<Unassigned>"
,"6390 · Utilities","Expense","","Utilities","6390","<Unassigned>"
,"6390 · Utilities:6392 · Gas and Electric","Expense","","Gas and Electric","6392","<Unassigned>"
,"6390 · Utilities:6396 · Water","Expense","","Water","6396","<Unassigned>"
,"6550 · Office Supplies","Expense","","Office Supplies","6550","<Unassigned>"
,"6550 · Office Supplies:6551 · Copier Service","Expense","","Copying Services","6551","<Unassigned>"
,"6550 · Office Supplies:6552 · Miscellaneous","Expense","","Miscellaneous Office Supplies","6552","<Unassigned>"
,"6550 · Office Supplies:6553 · Stationery","Expense","","Stationery","6553","<Unassigned>"
,"6555 · Outside Services","Expense","","Outside Services","6555","<Unassigned>"
,"6560 · Payroll Expenses","Expense","",,"6560","<Unassigned>"
,"66900 · Reconciliation Discrepancies","Expense","",,"66900","<Unassigned>"
,"6700 · Development Costs External","Expense","","Services contracted from subsidiaries and affiliates","6700","<Unassigned>"
,"6700 · Development Costs External:6710 · Software Consultancy Devt Exp","Expense","",,"6710","<Unassigned>"
,"6700 · Development Costs External:6720 · Documentation Development Costs","Expense","",,"6720","<Unassigned>"
,"6700 · Development Costs External:6730 · Product Testing Costs","Expense","",,"6730","<Unassigned>"
,"6750 · Business Development Costs","Expense","",,"6750","<Unassigned>"
,"6960 · Exchange Gain/Loss","Expense","",,"6960","<Unassigned>"
,"6998 · Expenses Suspense","Expense","",,"6998","<Unassigned>"
,"6999 · Uncategorised Expenses","Expense","",,"6999","<Unassigned>"
,"7010 · Interest Income","Other Income","","Interest Income","7010","<Unassigned>"
,"7020 · Sundry Income Account","Other Income","",,"7020","<Unassigned>"
,"7030 · Other Income","Other Income","","Other Income","7030","<Unassigned>"
,"6800 · Taxes","Other Expense","",,"6800","<Unassigned>"
,"6800 · Taxes:6830 · Corporate","Other Expense","","Corporation Tax","6830","<Unassigned>"
,"6800 · Taxes:6850 · Property","Other Expense","","Uniform Business Rates","6850","<Unassigned>"
,"6800 · Taxes:6860 · Late Lodgement Penalty","Other Expense","",,"6860","<Unassigned>"
,"8010 · Other Expenses","Other Expense","","Other Expenses","8010","<Unassigned>"
,"8010 · Other Expenses:8012 · Dividend Paid","Other Expense","",,"8012","<Unassigned>"
,"8010 · Other Expenses:8014 · Bad Debt","Other Expense","",,"8014","<Unassigned>"
,"8013 · Impairment loss Amt due fm Subs","Other Expense","",,"8013","<Unassigned>"
,"8020 · Curr. Exch Loss/(Gain)","Other Expense","","Currency Exchange Loss/(Gain)","8020","<Unassigned>"
,"8030 · Unclaimed GST","Other Expense","","Unclaimed GST","8030","<Unassigned>"
,"8040 · Witholding Tax Penalties","Other Expense","",,"8040","<Unassigned>"
,"0004 · Estimates","Non-Posting","",,"0004","<Unassigned>"
,"0005 · Sales Orders","Non-Posting","",,"0005","<Unassigned>"
,"9901 · Bank (Online)","Suspense","",,"9901","<Unassigned>"
