Number,Description,Category,Section,Type,Parent,Account Type
6790,Other Acctg & Legal,PL,Expenses,Detail,6700 - Accounting & Legal,1
6800,Finance Costs,PL,Expenses,Summary,Expenses,1
6810,Bank Service Charges,PL,Expenses,Detail,6800 - Finance Costs,1
6820,Interest Expense,PL,Expenses,Detail,6800 - Finance Costs,1
6830,Depreciation Expense,PL,Expenses,Detail,6800 - Finance Costs,1
6900,Other Operational Expenses,PL,Expenses,Summary,Expenses,1
6910,Books and Publications,PL,Expenses,Detail,6900 - Other Operational Expenses,1
6920,Dues and Subscriptions,PL,Expenses,Detail,6900 - Other Operational Expenses,1
6930,Cash Discounts,PL,Expenses,Detail,6900 - Other Operational Expenses,1
6990,Miscellaneous Expenses,PL,Expenses,Detail,6900 - Other Operational Expenses,1
6995,Expenses Suspense,PL,Expenses,Detail,6900 - Other Operational Expenses,1
6999,Currency Translation Expense,PL,Expenses,Detail,Expenses,1
7100,Other Non Operating Income,PL,Other Income,Summary,Other Income,-1
7110,Interest Income,PL,Other Income,Detail,7100 - Other Non Operating Income,-1
7120,Other Income,PL,Other Income,Detail,7100 - Other Non Operating Income,-1
8200,Other Non Operating Expense,PL,Other Expense,Summary,Other Expense,1
8205,Bad Debts,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8210,Late Payment Fees,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8220,Interest Expense - Non Operational,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8230,Other Expense,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8240,Tax,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8250,Exchange Loss/(Gain),PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
8260,Impairment Loss Amt due fm Subs,PL,Other Expense,Detail,8200 - Other Non Operating Expense,1
