AccountCode,Description,Account Name,Section,Type
5060,Third Party Sales Commission,5060 - Third Party Sales Commission,Cost of Goods Sold,Detail
6000,Expenses,6000 - Expenses,Expenses,Summary
6100,Salary and Benefits,6100 - Salary and Benefits,Expenses,Summary
6110,Salaries & Allowances,6110 - Salaries & Allowances,Expenses,Detail
6120,Bonuses,6120 - Bonuses,Expenses,Detail
6130,Superannuation,6130 - Superannuation,Expenses,Detail
6140,Medical,6140 - Medical,Expenses,Detail
6150,Staff Training and Development,6150 - Staff Training and Development,Expenses,Detail
6160,Recruitment Costs,6160 - Recruitment Costs,Expenses,Detail
6170,Insurances - HR Related,6170 - Insurances - HR Related,Expenses,Detail
6180,Contracted Services,6180 - Contracted Services,Expenses,Detail
6190,Payroll Expenses,6190 - Payroll Expenses,Expenses,Detail
6200,Occupancy,6200 - Occupancy,Expenses,Summary
6210,Rent,6210 - Rent,Expenses,Detail
6215,Rates,6215 - Rates,Expenses,Detail
6220,Utilities,6220 - Utilities,Expenses,Detail
6230,Office Cleaning,6230 - Office Cleaning,Expenses,Detail
6240,Building Repairs & Maintenance,6240 - Building Repairs & Maintenance,Expenses,Detail
6250,Management Fees,6250 - Management Fees,Expenses,Detail
6260,Amenities,6260 - Amenities,Expenses,Detail
6270,Insurance - Occupancy Related,6270 - Insurance - Occupancy Related,Expenses,Detail
6290,Other Occupancy Costs,6290 - Other Occupancy Costs,Expenses,Detail
6300,Office and Administrative,6300 - Office and Administrative,Expenses,Summary
6310,Postage and Courier,6310 - Postage and Courier,Expenses,Detail
6320,Office Supplies,6320 - Office Supplies,Expenses,Detail
6330,Software Expense,6330 - Software Expense,Expenses,Detail
6340,Computer Consumables,6340 - Computer Consumables,Expenses,Detail
6350,Printing,6350 - Printing,Expenses,Detail
6360,Equipment Repairs,6360 - Equipment Repairs,Expenses,Detail
6370,Equipment Expenses & Rentals,6370 - Equipment Expenses & Rentals,Expenses,Detail
6390,Other Office and Admin,6390 - Other Office and Admin,Expenses,Detail
6400,Marketing and Promotion,6400 - Marketing and Promotion,Expenses,Summary
6410,Client Entertainment,6410 - Client Entertainment,Expenses,Detail
6420,Advertising,6420 - Advertising,Expenses,Detail
6430,Seminar Costs,6430 - Seminar Costs,Expenses,Detail
6440,Printing and Production,6440 - Printing and Production,Expenses,Detail
6450,Design and Web costs,6450 - Design and Web costs,Expenses,Detail
6460,Gifts & Donations,6460 - Gifts & Donations,Expenses,Detail
6490,Other Marketing Costs,6490 - Other Marketing Costs,Expenses,Detail
6500,Communication and Internet,6500 - Communication and Internet,Expenses,Summary
6510,Telephone,6510 - Telephone,Expenses,Detail
6520,Internet,6520 - Internet,Expenses,Detail
6530,Postage & Delivery,6530 - Postage & Delivery,Expenses,Detail
6600,Travel and Accommodation,6600 - Travel and Accommodation,Expenses,Summary
6610,Airfares,6610 - Airfares,Expenses,Detail
6620,Accommodation,6620 - Accommodation,Expenses,Detail
6630,Transportation,6630 - Transportation,Expenses,Detail
6640,Meals and Per Diem,6640 - Meals and Per Diem,Expenses,Detail
6690,Other,6690 - Other,Expenses,Detail
6700,Accounting & Legal,6700 - Accounting & Legal,Expenses,Summary
6710,Accounting,6710 - Accounting,Expenses,Detail
6720,Audit Costs,6720 - Audit Costs,Expenses,Detail
6730,Disbursements,6730 - Disbursements,Expenses,Detail
6740,Legal Fees,6740 - Legal Fees,Expenses,Detail
6750,Licences & Permits,6750 - Licences & Permits,Expenses,Detail
6760,Stamp Duties,6760 - Stamp Duties,Expenses,Detail
6790,Other Acctg & Legal,6790 - Other Acctg & Legal,Expenses,Detail
6800,Finance Costs,6800 - Finance Costs,Expenses,Summary
6810,Bank Service Charges,6810 - Bank Service Charges,Expenses,Detail
6820,Interest Expense,6820 - Interest Expense,Expenses,Detail
6830,Depreciation Expense,6830 - Depreciation Expense,Expenses,Detail
6900,Other Operational Expenses,6900 - Other Operational Expenses,Expenses,Summary
6910,Books and Publications,6910 - Books and Publications,Expenses,Detail
6920,Dues and Subscriptions,6920 - Dues and Subscriptions,Expenses,Detail
6930,Cash Discounts,6930 - Cash Discounts,Expenses,Detail
6940,Bad Debts,6940 - Bad Debts,Expenses,Detail
6990,Miscellaneous Expenses,6990 - Miscellaneous Expenses,Expenses,Detail
6995,Expenses Suspense,6995 - Expenses Suspense,Expenses,Detail
7100,Other Non Operating Income,7100 - Other Non Operating Income,Other Income,Summary
7110,Interest Income,7110 - Interest Income,Other Income,Detail
7120,Other Income,7120 - Other Income,Other Income,Detail
7200,Other Non Operating Expense,7200 - Other Non Operating Expense,Other Expense,Summary
7210,Late Payment Fees,7210 - Late Payment Fees,Other Expense,Detail
7220,Interest Expense - Non Operational,7220 - Interest Expense - Non Operational,Other Expense,Detail
7230,Other Expense,7230 - Other Expense,Other Expense,Detail
7240,Tax,7240 - Tax,Other Expense,Detail
7250,Exchange Loss/(Gain),7250 - Exchange Loss/(Gain),Other Expense,Detail
